price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd
530000,13/01/2016,Kincumber,4,4,2,1351,House,7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05
525000,13/01/2016,Halekulani,2,4,2,594,House,2538,24752,1.397,-33.21772,151.55237,23,2,150.9,78.54
480000,13/01/2016,Chittaway Bay,2,4,2,468,House,2028,31668,1.116,-33.32678,151.44557,3,2,150.9,63.59
452000,13/01/2016,Leumeah,1,3,1,344,House,9835,32292,4.055,-34.05375,150.83957,81,2,150.9,40.12
365500,13/01/2016,North Avoca,0,0,0,1850,Vacant land,2200,45084,1.497,-33.45608,151.43598,18,2,150.9,49.98
550000,15/01/2016,Kincumber,1,3,1,626,House,7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05
535000,15/01/2016,Bensville,1,3,1,556,House,2545,36764,4.925,-33.49914,151.39045,27,2,150.9,43.91
495000,15/01/2016,Leumeah,1,3,2,582,House,9835,32292,4.055,-34.05375,150.83957,81,2,150.9,40.12
410000,15/01/2016,Toukley,1,3,3,493,House,4550,25844,3.683,-33.25799,151.54324,4,2,150.9,74.11
242500,15/01/2016,Winmalee,0,0,0,1248,Vacant land,6202,38740,9.058,-33.67971,150.61119,263,2,150.9,59.15
6500000,16/01/2016,Point Clare,1,3,2,742,House,3731,31772,3.336,-33.44017,151.31715,62,2,150.9,48.17
890000,18/01/2016,Picnic Point,2,4,3,715,House,6160,40560,3.859,-33.97301,151.00632,33,2,150.9,22.31
533000,18/01/2016,Whalan,3,4,2,695,House,5973,24180,2.429,-33.75572,150.80361,37,2,150.9,39.53
1120500,19/01/2016,North Rocks,2,4,2,904,House,7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61
830000,19/01/2016,Winmalee,3,6,2,2109,House,6202,38740,9.058,-33.67971,150.61119,263,2,150.9,59.15
675000,19/01/2016,Bass Hill,3,3,2,263,Townhouse,9069,24388,2.929,-33.90028,150.99309,40,2,150.9,20.43
500000,19/01/2016,Kincumber,1,3,1,791,House,7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05
473000,19/01/2016,Leumeah,1,3,3,581,House,9835,32292,4.055,-34.05375,150.83957,81,2,150.9,40.12
885000,20/01/2016,Picnic Point,1,3,2,557,Vacant land,6160,40560,3.859,-33.97301,151.00632,33,2,150.9,22.31
625000,20/01/2016,Chittaway Bay,2,4,2,555,House,2028,31668,1.116,-33.32678,151.44557,3,2,150.9,63.59
520000,20/01/2016,Leumeah,1,3,1,651,House,9835,32292,4.055,-34.05375,150.83957,81,2,150.9,40.12
510000,20/01/2016,Winmalee,1,3,1,993,House,6202,38740,9.058,-33.67971,150.61119,263,2,150.9,59.15
